Title,Author,ExclusiveShelf,Link,Picture,Display
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 7,Mò Xiāng Tóng Xiù,to-read,https://www.goodreads.com/book/show/60044950-heaven-official-s-blessing,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1679092053i/60044941.jpg,yes
"As Old As Time (A Twisted Tale, #3)",Liz Braswell,to-read,https://www.goodreads.com/book/show/32793038-as-old-as-time,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1505482024i/32793038.jpg,yes
So This is Love,Elizabeth Lim,to-read,https://www.goodreads.com/book/show/51300053-so-this-is-love,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1572669240l/51300053.jpg,yes
Reflection,Elizabeth Lim,to-read,https://www.goodreads.com/book/show/35960069-reflection,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510875244i/35960069.jpg,yes
Part of Your World,Liz Braswell,to-read,https://www.goodreads.com/book/show/37953790-part-of-your-world,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1525436616i/37953790.jpg,yes
"Lover Enshrined (Black Dagger Brotherhood, #6)",J.R. Ward,to-read,https://www.goodreads.com/book/show/1240662.Lover_Enshrined,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327896547i/1240662.jpg,no
"Lover Reborn (Black Dagger Brotherhood, #10)",J.R. Ward,to-read,https://www.goodreads.com/book/show/10993282-lover-reborn,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1319144072i/10993282.jpg,no
"Lover Revealed (Black Dagger Brotherhood, #4)",J.R. Ward,to-read,https://www.goodreads.com/book/show/42898.Lover_Revealed,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389646548i/42898.jpg,no
"Lover Unbound (Black Dagger Brotherhood, #5)",J.R. Ward,to-read,https://www.goodreads.com/book/show/304027.Lover_Unbound,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351276662i/304027.jpg,no
"Lover Awakened (Black Dagger Brotherhood, #3)",J.R. Ward,to-read,https://www.goodreads.com/book/show/42900.Lover_Awakened,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388773547i/42900.jpg,no
The Fill-In Boyfriend,Kasie West,to-read,https://www.goodreads.com/book/show/18660447-the-fill-in-boyfriend,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1555964577i/18660447.jpg,no
Love and Other Words,Christina Lauren,to-read,https://www.goodreads.com/book/show/36206591-love-and-other-words,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667534514i/36206591.jpg,yes
